category path = Root\Kit Serial Numbers
Miguel Cantu,,,,Chris Rucker (Quality),,,,,,Chris Hoagland,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entered Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,Teflon Spacer 1,,Teflon Spacer 2,,Teflon Spacer 3,,Teflon Lot #,,Comments,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,i am not good with compuer plz to help,
